feature,chi2,p,n_target,n_reference,p_value,p_adjusted,significant
goal,4623.3390908401425,0,11575,2330,0,0,TRUE
outcome,4400.542305450604,0,9500,1552,0,0,TRUE
ongoing,3717.022096811884,0,8630,1571,0,0,TRUE
progressing,2753.124563873416,0,6246,1099,0,0,TRUE
discharge,2128.6167984280596,0,7249,1991,0,0,TRUE
oral,2114.437136931477,0,9616,3251,0,0,TRUE
pt,2059.3608326767294,0,11362,4286,0,0,TRUE
dementia,1857.8091821433877,0,2721,156,0,0,TRUE
admission,1841.0277082900948,0,4597,920,0,0,TRUE
care,1725.0142718885513,0,10306,4045,0,0,TRUE
acute,1673.419846974546,0,6554,2005,0,0,TRUE
bed,1422.9207172811007,0,3529,700,2.1965302097526e-311,2.542300673604455e-308,TRUE
h,1372.4330553930145,0,6965,2510,2.0550729381369147e-300,2.1956083105987394e-297,TRUE
rn,1226.4342939315459,0,2666,439,1.0975931558817051e-268,1.0888908101457859e-265,TRUE
home,1192.0648579183708,0,6018,2162,3.234682256505976e-261,2.9951001240407664e-258,TRUE
injury,1167.48115174742,0,3209,718,7.122508202799131e-256,6.182782276792321e-253,TRUE
fall,1121.9257176268209,0,3207,748,5.668884856507876e-246,4.6314789277669345e-243,TRUE
inpatient,1031.8083317448495,0,2538,498,2.1897181886235144e-226,1.6896108845439995e-223,TRUE
qhs,998.7908205707756,0,1875,236,3.289259050614407e-219,2.4044483659991312e-216,TRUE
impaired,899.5095106879035,0,2104,386,1.254432358025621e-197,8.711405510308926e-195,TRUE
hospital,877.3450557730674,0,3441,1053,8.25663362877172e-193,5.460780212857639e-190,TRUE
q,858.8803883655536,0,2473,581,8.530272185124797e-189,5.385315926327196e-186,TRUE
impression,839.7377901813139,0,3432,1081,1.2376798027371925e-184,7.47397164357255e-182,TRUE
result,818.8862974651582,0,3611,1196,4.2257069285756235e-180,2.4454518137911185e-177,TRUE
prn,744.2739228387474,0,2825,844,7.05445124361566e-164,3.919170932903116e-161,TRUE
intake,743.6163776247862,0,2206,534,9.804800941869258e-164,5.237649241600851e-161,TRUE
intravenous,741.8333414005166,0,1836,363,2.3940878468251356e-163,1.2315365223909002e-160,TRUE
problem,721.7329644286588,0,6130,2789,5.621214953453003e-159,2.7883233745895985e-156,TRUE
qty,701.9632985438858,0,1005,51,1.1188524906271519e-154,5.358531807696728e-152,TRUE
hospice,700.5871268726696,0,961,37,2.2285872126964524e-154,1.0317615932380341e-151,TRUE
ct,700.320644225319,0,4549,1855,2.5467011463949236e-154,1.1410042652348096e-151,TRUE
transition,699.6472987620912,0,1553,264,3.567807254877229e-154,1.5485398425934323e-151,TRUE
altered,659.8478379879681,0,986,62,1.612222571196887e-145,6.785502815561687e-143,TRUE
tube,656.3716779965177,0,1439,240,9.191937677833248e-145,3.754906541394882e-142,TRUE
ml,638.7255995748487,0,6392,3078,6.325632093715342e-141,2.5101915471317824e-138,TRUE
optimal,630.475949796913,0,1423,248,3.938280896390898e-139,1.5194106491659216e-136,TRUE
met,616.4603089705889,0,1842,449,4.4018028764420766e-136,1.6523416257001082e-133,TRUE
interventions,615.0528805382169,0,1771,416,8.907268073114418e-136,3.25560648072332e-133,TRUE
contrast,614.5659003333767,0,2379,721,1.1367432252741096e-135,4.048263245085156e-133,TRUE
electronically,602.657612054565,0,1447,275,4.4233303490040716e-133,1.535890880432939e-130,TRUE
iv,599.7747981879145,0,2168,624,1.874054574109773e-132,6.348474141417229e-130,TRUE
comfort,595.253813968083,0,1220,182,1.8035950830937855e-131,5.964317168830855e-129,TRUE
absence,595.059813707484,0,1488,298,1.9876330546142912e-131,6.42005476640416e-129,TRUE
safety,594.6366546423303,0,1573,337,2.456846321157678e-131,7.75525876239977e-129,TRUE
report,593.4833466752872,0,2424,763,4.377597190011648e-131,1.3511210527127062e-128,TRUE
24,567.3623846237533,0,3787,1563,2.1041235287537825e-125,6.353080802361149e-123,TRUE
bid,564.0227338850548,0,2425,790,1.1208426507517912e-124,3.31220927155141e-122,TRUE
portable,551.7088663044693,0,1323,251,5.348639264898742e-122,1.5476510572953882e-119,TRUE
cognitive,551.1861600706142,0,1263,225,6.949484882089197e-122,1.9698243985170786e-119,TRUE
goals,547.7625302476085,0,2184,676,3.8612906706096596e-121,1.0725893224819512e-118,TRUE
progessing,542.4517751040256,0,1100,161,5.521489157172971e-120,1.5036855471367724e-117,TRUE
progress,534.6921868299543,0,1744,461,2.692443163901807e-118,7.191412135275423e-116,TRUE
final,532.6536108778272,0,5626,2756,7.475566156869206e-118,1.9590214783538946e-115,TRUE
pm,531.7516027293556,0,3521,1448,1.1745711615482791e-117,3.0210405301377866e-115,TRUE
output,512.4075309437444,0,1359,292,1.8984853986994042e-113,4.794193400461096e-111,TRUE
delirium,502.1722668249616,0,678,23,3.20133341570649e-111,7.939878537633472e-109,TRUE
summary,499.3512339369816,0,1362,302,1.3156151832928105e-110,3.205715663290148e-108,TRUE
daughter,495.5359144047715,0,1755,497,8.897619971413885e-110,2.1306731686718525e-107,TRUE
units,494.32916733773493,0,2517,908,1.6287070650357375e-109,3.8340868519120944e-107,TRUE
