demographic,subgroup,classification,term,tfidf_score
GENDER,Male,Correct,hospice,139.0758579967593
GENDER,Male,Correct,peg,77.36470888564317
GENDER,Male,Correct,carvedilol,60.50702912846022
GENDER,Male,Correct,disc,60.50702912846022
GENDER,Male,Correct,hemodialysis,56.89466918049245
GENDER,Male,Correct,esrd,56.89466918049245
GENDER,Male,Correct,actinic,41.241109405965425
GENDER,Male,Correct,nph,40.63904941463746
GENDER,Male,Correct,declined,39.133899436317556
GENDER,Male,Correct,minimized,38.832869440653575
GENDER,Male,Correct,showing,37.62874945799765
GENDER,Male,Correct,stones,36.424629475341725
GENDER,Male,Correct,novolog,36.12359947967774
GENDER,Male,Correct,hypoglycemia,35.82256948401376
GENDER,Male,Correct,bipap,35.52153948834978
GENDER,Male,Correct,protection,35.52153948834978
GENDER,Male,Correct,multifocal,34.91947949702182
GENDER,Male,Correct,warfarin,34.016389510029875
GENDER,Male,Correct,jean,34.016389510029875
GENDER,Male,Correct,video,31.909179540382006
GENDER,Male,Incorrect,healthcare,0
GENDER,Male,Incorrect,caller,0
GENDER,Male,Incorrect,patient,0
GENDER,Male,Incorrect,information,0
GENDER,Male,Incorrect,obtained,0
GENDER,Male,Incorrect,s,0
GENDER,Male,Incorrect,please,0
GENDER,Male,Incorrect,describe,0
GENDER,Male,Incorrect,need,0
GENDER,Male,Incorrect,clinic,0
GENDER,Male,Incorrect,staff,0
GENDER,Male,Incorrect,can,0
GENDER,Male,Incorrect,best,0
GENDER,Male,Incorrect,help,0
GENDER,Male,Incorrect,mr,0
GENDER,Male,Incorrect,stated,0
GENDER,Male,Incorrect,taking,0
GENDER,Male,Incorrect,trulicity,0
GENDER,Male,Incorrect,expensive,0
GENDER,Male,Incorrect,stopped,0
GENDER,Female,Correct,hydralazine,76.46161889865122
GENDER,Female,Correct,esrd,74.65543892466734
GENDER,Female,Correct,cystitis,64.42041907209197
GENDER,Female,Correct,ou,61.10908911978818
GENDER,Female,Correct,transplant,54.78745921084458
GENDER,Female,Correct,hydronephrosis,52.07818924986875
GENDER,Female,Correct,comorbidity,46.65964932791709
GENDER,Female,Correct,doppler,44.8534693539332
GENDER,Female,Correct,montelukast,38.23080944932561
GENDER,Female,Correct,singulair,38.23080944932561
GENDER,Female,Correct,graft,37.92977945366163
GENDER,Female,Correct,hemodialysis,37.32771946233367
GENDER,Female,Correct,danilova,37.32771946233367
GENDER,Female,Correct,svetlana,37.02668946666969
GENDER,Female,Correct,charles,36.12359947967774
GENDER,Female,Correct,zyprexa,35.82256948401376
GENDER,Female,Correct,og,34.61844950135784
GENDER,Female,Correct,deg,34.016389510029875
GENDER,Female,Correct,laceration,33.11329952303793
GENDER,Female,Correct,doxycycline,32.81226952737395
GENDER,Female,Incorrect,musc,0
GENDER,Female,Incorrect,physicians,0
GENDER,Female,Incorrect,primary,0
GENDER,Female,Incorrect,care,0
GENDER,Female,Incorrect,west,0
GENDER,Female,Incorrect,ashley,0
GENDER,Female,Incorrect,m,0
GENDER,Female,Incorrect,greene,0
