feature,frequency,rank,docfreq,group
s,134893,1,1,ADRD
o,31481,2,1,ADRD
mg,29461,3,1,ADRD
patient,25137,4,1,ADRD
2,17829,5,1,ADRD
1,17378,6,1,ADRD
tablet,13710,7,1,ADRD
date,11816,8,1,ADRD
goal,11575,9,1,ADRD
pt,11362,10,1,ADRD
history,10783,11,1,ADRD
daily,10622,12,1,ADRD
care,10306,13,1,ADRD
0,9766,14,1,ADRD
oral,9616,15,1,ADRD
outcome,9500,16,1,ADRD
3,8644,17,1,ADRD
ongoing,8630,18,1,ADRD
5,8483,19,1,ADRD
normal,8247,20,1,ADRD
md,7899,21,1,ADRD
l,7760,22,1,ADRD
take,7465,23,1,ADRD
c,7381,24,1,ADRD
left,7353,25,1,ADRD
discharge,7249,26,1,ADRD
10,7106,27,1,ADRD
time,7103,28,1,ADRD
h,6965,29,1,ADRD
mouth,6847,30,1,ADRD
pain,6635,31,1,ADRD
plan,6627,32,1,ADRD
acute,6554,33,1,ADRD
right,6460,34,1,ADRD
negative,6429,35,1,ADRD
ml,6392,36,1,ADRD
progressing,6246,37,1,ADRD
x,6245,38,1,ADRD
problem,6130,39,1,ADRD
4,6022,40,1,ADRD
home,6018,41,1,ADRD
medical,5846,42,1,ADRD
status,5676,43,1,ADRD
final,5626,44,1,ADRD
results,5564,45,1,ADRD
per,5179,46,1,ADRD
family,5126,47,1,ADRD
admission,4597,48,1,ADRD
ct,4549,49,1,ADRD
file,4510,50,1,ADRD
chest,4397,51,1,ADRD
blood,4305,52,1,ADRD
medications,4274,53,1,ADRD
value,4271,54,1,ADRD
continue,4252,55,1,ADRD
past,4230,56,1,ADRD
last,4076,57,1,ADRD
exam,4027,58,1,ADRD
disease,3949,59,1,ADRD
f,3917,60,1,ADRD
24,3787,61,1,ADRD
6,3784,62,1,ADRD
dl,3674,63,1,ADRD
assessment,3666,64,1,ADRD
treatment,3627,65,1,ADRD
result,3611,66,1,ADRD
yo,3548,67,1,ADRD
bed,3529,68,1,ADRD
pm,3521,69,1,ADRD
review,3473,70,1,ADRD
20,3466,71,1,ADRD
without,3444,72,1,ADRD
hospital,3441,73,1,ADRD
impression,3432,74,1,ADRD
findings,3322,75,1,ADRD
skin,3299,76,1,ADRD
lab,3278,77,1,ADRD
labs,3249,78,1,ADRD
reviewed,3238,79,1,ADRD
use,3235,80,1,ADRD
injury,3209,81,1,ADRD
fall,3207,82,1,ADRD
physical,3206,83,1,ADRD
note,3158,84,1,ADRD
risk,3083,85,1,ADRD
glucose,3058,86,1,ADRD
cm,3035,87,1,ADRD
times,3015,88,1,ADRD
therapy,3009,89,1,ADRD
see,2933,90,1,ADRD
chronic,2917,91,1,ADRD
diagnosis,2865,92,1,ADRD
day,2864,93,1,ADRD
30,2851,94,1,ADRD
service,2831,95,1,ADRD
prn,2825,96,1,ADRD
25,2812,97,1,ADRD
w,2805,98,1,ADRD
40,2801,99,1,ADRD
bp,2788,100,1,ADRD
due,2755,101,1,ADRD
k,2743,102,1,ADRD
needs,2733,103,1,ADRD
dementia,2721,104,1,ADRD
hours,2719,105,1,ADRD
g,2717,106,1,ADRD
range,2703,107,1,ADRD
12,2678,108,1,ADRD
50,2668,109,1,ADRD
rn,2666,110,1,ADRD
heart,2654,111,1,ADRD
well,2640,112,1,ADRD
today,2627,113,1,ADRD
intact,2623,114,1,ADRD
none,2620,115,1,ADRD
component,2616,116,1,ADRD
age,2605,117,1,ADRD
present,2572,118,1,ADRD
min,2569,119,1,ADRD
taking,2540,120,1,ADRD
inpatient,2538,121,1,ADRD
units,2517,122,1,ADRD
noted,2506,123,1,ADRD
8,2501,124,1,ADRD
head,2501,124,1,ADRD
level,2492,126,1,ADRD
name,2477,127,1,ADRD
q,2473,128,1,ADRD
current,2468,129,1,ADRD
needed,2463,130,1,ADRD
kg,2461,131,1,ADRD
prior,2461,131,1,ADRD
capsule,2446,133,1,ADRD
bid,2425,134,1,ADRD
report,2424,135,1,ADRD
m,2421,136,1,ADRD
follow,2384,137,1,ADRD
contrast,2379,138,1,ADRD
recent,2375,139,1,ADRD
symptoms,2339,140,1,ADRD
respiratory,2300,141,1,ADRD
general,2289,142,1,ADRD
comments,2267,143,1,ADRD
r,2233,144,1,ADRD
d,2219,145,1,ADRD
intake,2206,146,1,ADRD
female,2190,147,1,ADRD
goals,2184,148,1,ADRD
iv,2168,149,1,ADRD
7,2164,150,1,ADRD
social,2156,151,1,ADRD
hypertension,2153,152,1,ADRD
rate,2151,153,1,ADRD
mrn,2146,154,1,ADRD
p,2130,155,1,ADRD
medication,2121,156,1,ADRD
impaired,2104,157,1,ADRD
facility,2090,158,1,ADRD
found,2087,159,1,ADRD
count,2081,160,1,ADRD
edema,2070,161,1,ADRD
mild,2050,162,1,ADRD
11,2043,163,1,ADRD
surgery,2034,164,1,ADRD
dr,2019,165,1,ADRD
signs,2018,166,1,ADRD
creatinine,2003,167,1,ADRD
abdomen,2000,168,1,ADRD
seen,1999,169,1,ADRD
resp,1997,170,1,ADRD
adult,1981,171,1,ADRD
provider,1973,172,1,ADRD
failure,1945,173,1,ADRD
meds,1924,174,1,ADRD
lower,1914,175,1,ADRD
given,1909,176,1,ADRD
ref,1899,177,1,ADRD
health,1889,178,1,ADRD
temp,1879,179,1,ADRD
days,1878,180,1,ADRD
qhs,1875,181,1,ADRD
subjective,1874,182,1,ADRD
pulmonary,1872,183,1,ADRD
dose,1866,184,1,ADRD
alert,1865,185,1,ADRD
known,1857,186,1,ADRD
met,1842,187,1,ADRD
intravenous,1836,188,1,ADRD
pulse,1833,189,1,ADRD
musc,1825,190,1,ADRD
bilateral,1822,191,1,ADRD
likely,1821,192,1,ADRD
illness,1816,193,1,ADRD
male,1816,193,1,ADRD
n,1814,195,1,ADRD
mcg,1805,196,1,ADRD
diet,1803,197,1,ADRD
location,1799,198,1,ADRD
mental,1792,199,1,ADRD
stable,1777,200,1,ADRD
procedure,1772,201,1,ADRD
interventions,1771,202,1,ADRD
surgical,1767,203,1,ADRD
clinical,1765,204,1,ADRD
non,1760,205,1,ADRD
weight,1758,206,1,ADRD
activity,1758,206,1,ADRD
daughter,1755,208,1,ADRD
wbc,1755,208,1,ADRD
place,1751,210,1,ADRD
hr,1751,210,1,ADRD
b,1744,212,1,ADRD
progress,1744,212,1,ADRD
evaluation,1738,214,1,ADRD
denies,1733,215,1,ADRD
soft,1731,216,1,ADRD
university,1714,217,1,ADRD
diagnoses,1709,218,1,ADRD
performed,1709,218,1,ADRD
allergies,1706,220,1,ADRD
po,1703,221,1,ADRD
reports,1698,222,1,ADRD
call,1695,223,1,ADRD
primary,1693,224,1,ADRD
spo,1689,225,1,ADRD
also,1687,226,1,ADRD
can,1685,227,1,ADRD
xr,1683,228,1,ADRD
able,1676,229,1,ADRD
moderate,1675,230,1,ADRD
carolina,1673,231,1,ADRD
t,1666,232,1,ADRD
related,1666,232,1,ADRD
18,1662,234,1,ADRD
75,1660,235,1,ADRD
total,1648,236,1,ADRD
bun,1643,237,1,ADRD
changes,1640,238,1,ADRD
unable,1632,239,1,ADRD
every,1627,240,1,ADRD
south,1623,241,1,ADRD
term,1608,242,1,ADRD
mobility,1601,243,1,ADRD
problems,1593,244,1,ADRD
significant,1593,244,1,ADRD
back,1590,246,1,ADRD
ed,1589,247,1,ADRD
management,1587,248,1,ADRD
data,1581,249,1,ADRD
small,1576,250,1,ADRD
mmol,1574,251,1,ADRD
safety,1573,252,1,ADRD
increased,1571,253,1,ADRD
associated,1570,254,1,ADRD
ap,1566,255,1,ADRD
release,1559,256,1,ADRD
collection,1558,257,1,ADRD
transition,1553,258,1,ADRD
yes,1547,259,1,ADRD
15,1526,260,1,ADRD
evidence,1523,261,1,ADRD
discussed,1519,262,1,ADRD
post,1519,262,1,ADRD
bowel,1518,264,1,ADRD
notes,1515,265,1,ADRD
subcutaneous,1511,266,1,ADRD
agree,1508,267,1,ADRD
sit,1506,268,1,ADRD
vitals,1505,269,1,ADRD
sex,1505,269,1,ADRD
abdominal,1496,271,1,ADRD
full,1496,271,1,ADRD
sounds,1494,273,1,ADRD
absence,1488,274,1,ADRD
active,1488,274,1,ADRD
within,1487,276,1,ADRD
hgb,1481,277,1,ADRD
neck,1480,278,1,ADRD
oriented,1474,279,1,ADRD
balance,1468,280,1,ADRD
assist,1467,281,1,ADRD
kidney,1454,282,1,ADRD
may,1453,283,1,ADRD
lb,1450,284,1,ADRD
electronically,1447,285,1,ADRD
regular,1441,286,1,ADRD
tube,1439,287,1,ADRD
16,1436,288,1,ADRD
year,1435,289,1,ADRD
study,1432,290,1,ADRD
fracture,1431,291,1,ADRD
calcium,1429,292,1,ADRD
60,1427,293,1,ADRD
infection,1424,294,1,ADRD
optimal,1423,295,1,ADRD
na,1422,296,1,ADRD
wound,1417,297,1,ADRD
physician,1413,298,1,ADRD
attending,1412,299,1,ADRD
signed,1406,300,1,ADRD
90,1404,301,1,ADRD
distress,1395,302,1,ADRD
9,1394,303,1,ADRD
baseline,1388,304,1,ADRD
breath,1387,305,1,ADRD
function,1387,305,1,ADRD
narrative,1383,307,1,ADRD
stroke,1381,308,1,ADRD
insulin,1380,309,1,ADRD
81,1376,310,1,ADRD
renal,1375,311,1,ADRD
gait,1373,312,1,ADRD
room,1367,313,1,ADRD
type,1366,314,1,ADRD
summary,1362,315,1,ADRD
weakness,1360,316,1,ADRD
output,1359,317,1,ADRD
pressure,1351,318,1,ADRD
extremities,1349,319,1,ADRD
ua,1341,320,1,ADRD
following,1339,321,1,ADRD
objective,1330,322,1,ADRD
low,1330,322,1,ADRD
bedside,1330,322,1,ADRD
portable,1323,325,1,ADRD
imaging,1312,326,1,ADRD
volume,1305,327,1,ADRD
never,1304,328,1,ADRD
clear,1293,329,1,ADRD
chair,1287,330,1,ADRD
taken,1284,331,1,ADRD
loss,1282,332,1,ADRD
currently,1281,333,1,ADRD
severe,1275,334,1,ADRD
education,1274,335,1,ADRD
artery,1272,336,1,ADRD
nursing,1271,337,1,ADRD
eyes,1270,338,1,ADRD
gi,1266,339,1,ADRD
diabetes,1263,340,1,ADRD
encounter,1263,340,1,ADRD
sodium,1263,340,1,ADRD
cognitive,1263,340,1,ADRD
improved,1251,344,1,ADRD
hemoglobin,1242,345,1,ADRD
rhythm,1240,346,1,ADRD
cardiovascular,1233,347,1,ADRD
brain,1227,348,1,ADRD
functional,1222,349,1,ADRD
comfort,1220,350,1,ADRD
now,1214,351,1,ADRD
visit,1210,352,1,ADRD
states,1207,353,1,ADRD
max,1203,354,1,ADRD
reason,1203,354,1,ADRD
admitted,1201,356,1,ADRD
hour,1194,357,1,ADRD
transfer,1193,358,1,ADRD
sitting,1191,359,1,ADRD
elevated,1186,360,1,ADRD
cardiac,1185,361,1,ADRD
morning,1183,362,1,ADRD
list,1179,363,1,ADRD
outpatient,1179,363,1,ADRD
co,1178,365,1,ADRD
self,1172,366,1,ADRD
short,1171,367,1,ADRD
number,1170,368,1,ADRD
systems,1167,369,1,ADRD
week,1166,370,1,ADRD
lung,1163,371,1,ADRD
upper,1162,372,1,ADRD
hcc,1160,373,1,ADRD
80,1156,374,1,ADRD
plt,1153,375,1,ADRD
htn,1152,376,1,ADRD
mean,1151,377,1,ADRD
recommendations,1142,378,1,ADRD
specific,1137,379,1,ADRD
comparison,1133,380,1,ADRD
consult,1133,380,1,ADRD
memory,1124,382,1,ADRD
minutes,1124,382,1,ADRD
appropriate,1123,384,1,ADRD
