feature,frequency,rank,docfreq,group
s,273529,1,1460,all
o,67906,2,1206,all
mg,51282,3,1297,all
patient,45313,4,1429,all
1,35512,5,1410,all
2,33803,6,1419,all
tablet,31887,7,1138,all
history,26777,8,1389,all
daily,20955,9,1224,all
normal,20128,10,1321,all
take,19152,11,1141,all
date,18986,12,1270,all
3,17745,13,1366,all
mouth,17731,14,1144,all
pain,16172,15,1250,all
5,15938,16,1313,all
negative,15794,17,1207,all
0,15755,18,1184,all
pt,15648,19,1038,all
care,14351,20,1197,all
goal,13905,21,722,all
left,13473,22,1214,all
oral,12867,23,1059,all
l,12687,24,990,all
md,12633,25,1257,all
10,12371,26,1221,all
right,12249,27,1187,all
c,12188,28,1238,all
time,11841,29,1287,all
medical,11239,30,1376,all
plan,11129,31,1386,all
outcome,11052,32,576,all
4,11012,33,1280,all
file,10772,34,863,all
past,10418,35,1324,all
x,10335,36,1036,all
ongoing,10201,37,656,all
results,9685,38,1119,all
h,9475,39,939,all
ml,9470,40,885,all
status,9339,41,1200,all
discharge,9240,42,856,all
medications,8930,43,1332,all
problem,8919,44,1169,all
acute,8559,45,1050,all
family,8529,46,1313,all
final,8382,47,519,all
use,8207,48,1175,all
home,8180,49,988,all
exam,8117,50,1362,all
chest,8113,51,1158,all
disease,8055,52,1116,all
per,8036,53,1161,all
skin,7672,54,1225,all
last,7665,55,1171,all
blood,7642,56,1045,all
reviewed,7526,57,1268,all
progressing,7345,58,359,all
review,7224,59,1341,all
value,7211,60,866,all
6,7160,61,1222,all
well,7143,62,1329,all
yo,6714,63,1325,all
physical,6676,64,1372,all
dl,6549,65,436,all
assessment,6537,66,1343,all
20,6501,67,1073,all
times,6496,68,1077,all
ct,6404,69,850,all
capsule,6404,69,872,all
without,6374,71,1136,all
none,6297,72,892,all
f,6293,73,1148,all
today,6256,74,1231,all
continue,6248,75,1063,all
current,6168,76,1251,all
cm,5903,77,1105,all
social,5845,78,1111,all
day,5827,79,1075,all
treatment,5824,80,966,all
30,5737,81,1049,all
lab,5646,82,895,all
heart,5643,83,1027,all
kg,5531,84,1047,all
admission,5517,85,734,all
surgery,5496,86,871,all
follow,5408,87,1205,all
24,5350,88,929,all
labs,5330,89,1052,all
needed,5320,90,1081,all
diagnosis,5320,90,1177,all
m,5289,92,1084,all
note,5253,93,1130,all
symptoms,5243,94,1085,all
visit,5236,95,1098,all
dr,5235,96,1061,all
medication,5222,97,1150,all
present,5110,98,1186,all
chronic,5002,99,882,all
hypertension,5001,100,966,all
40,4998,101,931,all
pm,4969,102,850,all
bp,4958,103,1182,all
general,4946,104,1162,all
see,4926,105,1022,all
procedure,4913,106,927,all
25,4882,107,956,all
findings,4858,108,911,all
range,4844,109,838,all
service,4837,110,873,all
50,4825,111,983,all
prior,4822,112,1039,all
result,4807,113,607,all
risk,4699,114,887,all
component,4649,115,804,all
allergies,4624,116,1145,all
therapy,4623,117,801,all
hours,4618,118,977,all
taking,4600,119,982,all
g,4598,120,853,all
age,4585,121,1103,all
noted,4584,122,1065,all
w,4577,123,888,all
denies,4570,124,961,all
surgical,4554,125,1172,all
impression,4513,126,749,all
hospital,4494,127,817,all
intact,4476,128,1011,all
12,4474,129,989,all
k,4468,130,894,all
needs,4431,131,937,all
glucose,4358,132,844,all
every,4334,133,924,all
d,4323,134,943,all
8,4284,135,932,all
due,4253,136,1004,all
rate,4247,137,1069,all
female,4237,138,802,all
bed,4229,139,635,all
musc,4218,140,921,all
back,4170,141,1076,all
reports,4133,142,911,all
head,4097,143,969,all
name,4072,144,1077,all
respiratory,4036,145,997,all
neck,3990,146,1019,all
days,3983,147,965,all
