model,cycle,tp,tn,fp,fn,auc,auc_ci_lower,auc_ci_upper,accuracy,sensitivity,specificity,precision,ppv,npv,f1,f2,fpr,fnr,mcc,brier_score,log_loss,youden_threshold,youden_index,youden_sensitivity,youden_specificity,threshold_used
CNNr,1,638,737,66,19,0.9857914858853121,0.9808420322861994,0.990740939484425,0.9417808219178082,0.9710806697108066,0.9178082191780822,0.90625,0.90625,0.9748677248677249,0.9375459221160911,0.9573829531812723,0.0821917808219178,0.0289193302891933,NA,0.044484193874908505,0.16515176492854655,0.5712760984897614,0.8977445689774455,0.9649923896499238,0.9327521793275217,0.5
CNNr,2,637,733,70,20,0.9866975250724547,0.982116418643176,0.9912786315017336,0.9383561643835616,0.969558599695586,0.912826899128269,0.900990099009901,0.900990099009901,0.9734395750332006,0.9340175953079178,0.9550224887556221,0.08717310087173101,0.030441400304414,NA,0.04527950536559596,0.1629034315354581,0.735213965177536,0.9034177390341775,0.9482496194824962,0.9551681195516812,0.5
CNNr,3,636,724,79,21,0.9858066497210802,0.9811308235332662,0.990482475908894,0.9315068493150684,0.9680365296803652,0.9016189290161893,0.8895104895104895,0.8895104895104895,0.9718120805369127,0.9271137026239067,0.9512413999401734,0.09838107098381071,0.0319634703196347,NA,0.049337775840825486,0.18061447448235754,0.7002148628234863,0.8960841289608412,0.9558599695585996,0.9402241594022416,0.5
CNNr,4,640,734,69,17,0.9869780560341641,0.9825649207975604,0.991391191270768,0.9410958904109589,0.974124809741248,0.9140722291407223,0.9026798307475318,0.9026798307475318,0.9773635153129161,0.9370424597364568,0.958945160323644,0.0859277708592777,0.0258751902587519,NA,0.04577948410738033,0.1665705854295734,0.5782845914363861,0.9000968590009686,0.9710806697108066,0.9290161892901619,0.5
CNNr,5,636,725,78,21,0.9858578276667974,0.9813282263073397,0.9903874290262551,0.9321917808219178,0.9680365296803652,0.9028642590286425,0.8907563025210085,0.8907563025210085,0.9718498659517426,0.9277899343544856,0.9515260323159783,0.09713574097135741,0.0319634703196347,NA,0.05058905574338033,0.18658489158199967,0.7109004259109497,0.8840459388404593,0.9512937595129376,0.9327521793275217,0.5
CNNr,5,636,725,78,21,0.9858578276667974,0.9813282263073397,0.9903874290262551,0.9321917808219178,0.9680365296803652,0.9028642590286425,0.8907563025210085,0.8907563025210085,0.9718498659517426,0.9277899343544856,0.9515260323159783,0.09713574097135741,0.0319634703196347,NA,0.05058905574338033,0.18658489158199967,0.8173081278800964,0.8840459388404593,0.9375951293759512,0.9464508094645081,0.5
CNNr,6,638,735,68,19,0.9874595078198005,0.9831673804789947,0.9917516351606064,0.9404109589041096,0.9710806697108066,0.9153175591531756,0.9036827195467422,0.9036827195467422,0.9748010610079576,0.9361702127659574,0.9568086382723453,0.08468244084682441,0.0289193302891933,NA,0.04373562241520628,0.16201069806276425,0.6274287402629852,0.9031409990314101,0.9604261796042618,0.9427148194271482,0.5
CNNr,7,636,742,61,21,0.9858824688999206,0.9809796343979518,0.9907853034018894,0.9438356164383561,0.9680365296803652,0.9240348692403487,0.9124820659971306,0.9124820659971306,0.9724770642201835,0.9394387001477106,0.9563909774436089,0.0759651307596513,0.0319634703196347,NA,0.0441457512537247,0.16279323618356112,0.6492146253585815,0.9025875190258752,0.9573820395738204,0.9452054794520548,0.5
CNNr,8,638,734,69,19,0.9875817662456806,0.9833665757035647,0.9917969567877968,0.9397260273972603,0.9710806697108066,0.9140722291407223,0.9024045261669024,0.9024045261669024,0.9747675962815405,0.9354838709677419,0.9565217391304347,0.0859277708592777,0.0289193302891933,NA,0.044850980813203996,0.16406302276975807,0.6260418593883514,0.902172409021724,0.9619482496194824,0.9402241594022416,0.5
CNNr,9,639,737,66,18,0.9866918386340416,0.9817908845417013,0.991592792726382,0.9424657534246575,0.9726027397260274,0.9178082191780822,0.9063829787234042,0.9063829787234042,0.976158940397351,0.9383259911894273,0.9585958595859585,0.0821917808219178,0.0273972602739726,NA,0.04395716361608257,0.16335513586492467,0.6926742792129517,0.9090909090909092,0.958904109589041,0.950186799501868,0.5
CNNr,10,643,735,68,14,0.9870292339798814,0.9822068470288265,0.9918516209309363,0.9438356164383561,0.9786910197869102,0.9153175591531756,0.9043600562587905,0.9043600562587905,0.9813084112149533,0.9400584795321637,0.9628631326744536,0.08468244084682441,0.0213089802130898,NA,0.043882046550210906,0.1674228781315571,0.7726836502552032,0.9086757990867578,0.9497716894977168,0.958904109589041,0.5
